index,price,ticks_5m,ticks_15m,ticks_1h,change_5m,change_15m,change_1h,change_8h,change_1d,volume_5m,volume_15m,volume_1h,volume_8h,volume_1d,vdelta_5m,vdelta_15m,vdelta_1h,vdelta_8h,vdelta_1d,openinterest,OI_change_15m,OI_change_1h,OI_change_8h,OI_change_1d,funding_rate,marketcap,OI/MC,volatility_5m,volatility_15m,volatility_1h,BTC_correlation_1d,ETH_correlation_1d,BTC_correlation_3d,ETH_correlation_3d,BTC_beta_1d,ETH_beta_1d,BTC_beta_3d,ETH_beta_3d
BTC/USDT,26701.8,28740.0,76855.0,235015.0,0.3182,0.2851,0.0521,-1.5017,-2.4976,92899515,217047110,636827901,5070721580,9709048270,28265860,26428737,66416129,-249024578,-435017255,"[98654.22, 2633357364]","[347.885, 9286025, 0.354]","[954.637, 25481935, 0.977]","[1482.29, 39566471, 1.525]","[5650.395, 150824864, 6.075]",0.0,521048396509,0.005,0.09,0.0803,0.0635,1.0,0.857,1.0,0.566,1.0,0.693,1.0,0.3
ETH/USDT,1558.47,12328.0,28112.0,126726.0,0.2941,0.3025,0.0681,-0.5247,-0.1051,21520154,44047353,204582605,1665112743,3688147029,5701612,7646637,7785184,-16856485,21753335,"[809309.634, 1261389996]","[691.016, 1077018, 0.085]","[344.064, 536258, 0.043]","[-2285.03, -3561448, -0.282]","[18922.128, 29492029, 2.394]",0.0,187442919663,0.007,0.08,0.0656,0.0639,0.857,1.0,0.566,1.0,1.127,1.0,0.533,1.0
BNB/USDT,205.62,1693.0,4941.0,20623.0,0.1754,0.1461,0.1217,-0.4599,-1.0967,876250,2417134,10347793,83617126,228523910,246305,242052,414055,-2175855,-5198255,"[737187.77, 151558434]","[254.31, 52284, 0.035]","[-918.27, -188787, -0.124]","[-10069.27, -2070141, -1.347]","[-9753.32, -2005185, -1.306]",0.0,31643594370,0.005,0.0392,0.043,0.0541,0.759,0.803,0.187,-0.076,0.832,0.656,0.378,0.608
XRP/USDT,0.484,2743.0,7408.0,44113.0,0.2486,0.4775,0.1241,-0.1444,-2.38,1913677,6413435,39684169,163270680,465204468,326218,1154870,-3548032,-5137799,-12366955,"[292704246.6, 141639585]","[-722004.8, -349378, -0.246]","[1924514.1, 931272, 0.662]","[888020.7, 429713, 0.304]","[-3110952.1, -1505390, -1.052]",0.006,25844791768,0.005,0.0448,0.0624,0.0929,0.661,0.7,0.432,0.679,1.053,0.886,0.524,0.622
USDC/USDT,0.99964,135.0,181.0,708.0,0.0,0.002,0.012,0.02,0.036,3213,6935,49789,285335,970978,-481,-906,18192,49698,192419,"[8874332.0, 8871137]","[2394.0, 2393, 0.027]","[26437.0, 26427, 0.299]","[25498.0, 25489, 0.288]","[93332.0, 93298, 1.063]",-0.003,25257422557,0.0,0.0007,0.001,0.0017,0.107,0.12,0.053,0.049,0.001,0.001,0.001,0.001
SOL/USDT,21.883,3484.0,8769.0,42893.0,0.413,0.3347,-0.2234,-1.5565,0.3992,3238562,7806598,36567513,272945539,671413989,713348,484673,-1693359,-260060,273986,"[5369369.0, 117465686]","[6597.0, 144323, 0.123]","[20061.0, 438874, 0.375]","[67475.0, 1476151, 1.273]","[181089.0, 3961684, 3.49]",-0.004,9072698595,0.013,0.0885,0.0872,0.1026,0.702,0.769,0.236,-0.029,1.435,1.176,0.674,0.547
ADA/USDT,0.2467,830.0,2147.0,9525.0,0.1218,0.2031,0.0406,0.0406,-0.5242,291284,858656,4576851,41643356,105161003,20714,97577,199159,-599560,-222811,"[164336725.0, 40558304]","[-378516.0, -93418, -0.23]","[-729451.0, -180029, -0.442]","[-1605702.0, -396287, -0.968]","[2771271.0, 683950, 1.715]",0.008,8593728063,0.005,0.0967,0.0643,0.0645,0.731,0.781,0.331,0.522,1.032,0.857,0.494,0.615
DOGE/USDT,0.05802,1253.0,3672.0,18082.0,0.2246,0.1899,0.069,-1.3097,-1.0573,504798,1946279,10779401,82442891,190945261,95974,-63225,-132032,-3227405,-1662764,"[1410400379.0, 81817326]","[-1086058.0, -63002, -0.077]","[4365983.0, 253271, 0.311]","[33010912.0, 1914963, 2.397]","[27029905.0, 1568005, 1.954]",-0.003,8200829403,0.01,0.0473,0.054,0.0621,0.789,0.842,0.252,0.422,0.971,0.84,0.475,0.6
TRX/USDT,0.08598,517.0,1627.0,7295.0,0.1514,0.0233,-0.1046,-0.2668,-0.3708,138039,431254,1837929,14345545,59528948,9787,-43630,-212397,-62123,24407,"[387091957.0, 33282166]","[-584372.0, -50244, -0.151]","[-3300396.0, -283768, -0.845]","[-5973688.0, -513618, -1.52]","[-12115631.0, -1041702, -3.035]",-0.006,7650631744,0.004,0.0354,0.0355,0.0346,0.646,0.663,0.219,0.265,0.48,0.392,0.225,0.183
DOT/USDT,3.723,682.0,1889.0,13027.0,0.1884,0.1884,-0.1609,-0.7994,-2.2065,331423,748435,6667089,33503830,88101053,86616,62508,-474053,-1825503,-2835206,"[16264530.6, 60569112]","[9069.3, 33774, 0.056]","[175018.0, 651767, 1.088]","[41344.5, 153967, 0.255]","[348379.7, 1297366, 2.189]",-0.015,4780414435,0.013,0.0642,0.0573,0.0837,0.763,0.816,0.381,0.577,1.287,1.084,0.609,0.736
MATIC/USDT,0.5089,2129.0,4714.0,25069.0,0.1377,-0.1178,-0.5278,-1.6428,-1.1269,922181,1821000,11119715,60089662,145693579,155750,214919,-1005667,-2708195,-1371470,"[92366306.0, 47032923]","[196038.0, 99823, 0.213]","[666052.0, 339154, 0.726]","[-1749257.0, -890722, -1.859]","[2893087.0, 1473160, 3.233]",-0.0,4732669762,0.01,0.0937,0.0826,0.086,0.702,0.82,0.283,0.589,1.215,1.028,0.602,0.835
LTC/USDT,61.45,1116.0,3095.0,14146.0,0.2611,0.163,-0.0325,-1.978,-2.7074,445870,1802088,6541809,64322491,137814255,183324,123297,325010,-1781135,-2973911,"[1215089.713, 74667263]","[770.098, 47323, 0.063]","[3413.788, 209777, 0.282]","[-3315.833, -203758, -0.272]","[-12317.78, -756928, -1.004]",0.004,4531942999,0.016,0.0576,0.0542,0.0616,0.75,0.829,0.334,0.632,1.134,0.942,0.544,0.677
BCH/USDT,213.91,2973.0,6677.0,35079.0,0.4602,0.5169,0.1217,0.2343,0.7821,1409890,2960032,15809937,108358559,303113414,427277,344021,122090,93148,4475961,"[542759.0, 116031019]","[199.315, 42610, 0.037]","[-1307.96, -279616, -0.24]","[-6841.131, -1462497, -1.245]","[-14336.846, -3064931, -2.573]",0.0,4178141274,0.028,0.068,0.0925,0.0995,0.705,0.76,0.258,0.257,1.423,1.209,0.67,0.864
LINK/USDT,7.32,3036.0,9625.0,34193.0,0.3427,0.5909,0.2877,0.7016,1.3429,1662573,5074326,18113948,117737928,244668504,421054,903140,226621,-1445998,859603,"[11016796.61, 80687018]","[112440.79, 823516, 1.031]","[-10290.85, -75370, -0.093]","[419996.79, 3076056, 3.963]","[589574.99, 4318047, 5.654]",0.01,4076698639,0.02,0.1049,0.1105,0.1104,0.719,0.83,0.32,0.154,1.447,1.228,0.762,0.683
1000SHIB/USDT,0.006751,760.0,2771.0,15127.0,0.1335,0.0593,-0.2512,-1.4309,-1.5459,319760,1125180,6128421,28161617,69626758,92682,22875,-676804,-1639538,-4158340,"[4382655560.0, 29591690]","[-6454524.0, -43581, -0.147]","[55689476.0, 376015, 1.287]","[99520993.0, 671966, 2.324]","[192427775.0, 1299272, 4.592]",0.005,3978556845,0.007,0.0752,0.0605,0.0674,0.731,0.783,0.266,0.324,0.974,0.839,0.448,0.616
AVAX/USDT,9.317,1182.0,3621.0,25332.0,0.3122,0.3014,0.0215,-0.5232,-2.1324,523086,1445111,11873042,73843135,170583292,198352,216871,-309993,-1461167,-1690877,"[4761280.0, 44351323]","[-8103.0, -75479, -0.17]","[-60317.0, -561853, -1.251]","[-137509.0, -1280896, -2.807]","[-92000.0, -856980, -1.896]",0.005,3303516584,0.013,0.066,0.0736,0.1002,0.608,0.695,0.229,0.285,1.167,0.991,0.549,0.459
UNI/USDT,4.079,296.0,983.0,5522.0,0.2458,0.2704,0.2211,-1.1391,-0.6576,61881,244388,1217995,8653613,27355923,18352,-6042,-114045,-344788,-508960,"[4015655.0, 16375841]","[-1534.0, -6256, -0.038]","[-11170.0, -45551, -0.277]","[-76205.0, -310764, -1.862]","[-113564.0, -463114, -2.75]",0.004,3074614235,0.005,0.0638,0.0664,0.086,0.723,0.802,0.278,0.536,1.195,1.009,0.573,0.781
XLM/USDT,0.10226,436.0,1525.0,7657.0,0.1175,0.2451,-0.0489,-1.2934,-1.3315,118544,459310,2217492,12999417,29999835,51403,221257,160155,-21122,-255543,"[191722515.0, 19611296]","[-630794.0, -64524, -0.328]","[-1676301.0, -171469, -0.867]","[-2551613.0, -261004, -1.313]","[1379659.0, 141125, 0.725]",0.009,2841278458,0.007,0.0328,0.0391,0.0572,0.695,0.746,0.135,0.03,0.924,0.781,0.44,0.357
XMR/USDT,152.1,383.0,1205.0,5974.0,0.158,0.2306,0.4889,0.046,-0.2819,55821,170586,1049968,8816872,19403491,27579,34882,85156,464343,793309,"[80475.353, 12237082]","[-170.51, -25928, -0.211]","[-699.907, -106428, -0.862]","[490.477, 74582, 0.613]","[-739.916, -112512, -0.911]",0.0,2760646436,0.004,0.0289,0.0597,0.0641,0.531,0.591,0.153,-0.037,0.645,0.526,0.272,0.242
ETC/USDT,14.803,640.0,1977.0,9053.0,0.2574,0.3049,0.2438,-0.4506,-0.9435,159260,643449,2806022,17891333,53556296,36067,75262,261176,-296566,-1279101,"[1731879.19, 25635276]","[5830.65, 86305, 0.338]","[-1360.97, -20145, -0.079]","[34097.6, 504713, 2.008]","[47920.59, 709321, 2.846]",0.004,2120107383,0.012,0.0714,0.0598,0.0706,0.788,0.858,0.341,0.6,1.049,0.883,0.504,0.719
ATOM/USDT,6.727,1504.0,4099.0,16803.0,-0.0149,0.1638,0.5531,1.7854,0.418,526055,1604932,6247876,39161338,103797202,54652,201064,531635,577370,126413,"[5039424.48, 33895169]","[33643.79, 226288, 0.672]","[35513.2, 238862, 0.71]","[-17372.97, -116851, -0.344]","[50440.59, 339263, 1.011]",-0.037,1968519710,0.017,0.0622,0.0794,0.095,0.561,0.627,0.142,0.302,1.212,1.043,0.575,0.762
PHB/USDT,0.5571,212.0,1007.0,3066.0,0.2519,0.1078,0.1258,-0.7306,-2.7749,16488,127235,363981,2023507,10007731,3458,-53037,-54901,-145328,-709346,"[5191247.0, 2891005]","[65684.0, 36579, 1.281]","[47781.0, 26609, 0.929]","[-126611.0, -70510, -2.381]","[-255300.0, -142177, -4.687]",0.004,1886372903,0.002,0.07,0.1427,0.11,0.657,0.733,0.196,0.227,1.373,1.153,0.697,0.877
HBAR/USDT,0.04603,281.0,805.0,5105.0,0.2614,0.3269,0.0217,-0.3032,-1.5612,41514,121314,856928,7057491,21826126,10321,10612,-2628,-149465,-380416,"[181962248.0, 8370263]","[76195.0, 3505, 0.042]","[102025.0, 4693, 0.056]","[-1032725.0, -47505, -0.564]","[5782609.0, 266000, 3.282]",0.001,1541596235,0.005,0.0555,0.0549,0.0672,0.755,0.796,0.007,-0.024,0.829,0.696,0.385,0.508
FIL/USDT,3.14,483.0,1586.0,8051.0,0.1914,0.0956,-0.0318,-0.8838,-1.3509,153259,572302,3286980,20690043,53124048,49102,-61683,-42972,-1058595,-2610270,"[7140242.6, 22434642]","[-20748.9, -65193, -0.29]","[-141769.9, -445441, -1.947]","[-98681.8, -310058, -1.363]","[849.5, 2669, 0.012]",-0.005,1436981358,0.016,0.0829,0.0801,0.0876,0.739,0.791,0.257,0.515,1.289,1.105,0.667,0.799
LDO/USDT,1.5538,794.0,2215.0,9133.0,0.3812,0.2581,0.3876,0.1741,1.9688,166513,455554,1811874,17159980,37405452,20404,33262,35067,-725389,-1154170,"[16447642.0, 25561280]","[35826.0, 55677, 0.218]","[58945.0, 91606, 0.36]","[347804.0, 540522, 2.16]","[338700.0, 526374, 2.103]",0.01,1383587824,0.018,0.0786,0.0901,0.1189,0.649,0.724,0.272,0.533,1.459,1.198,0.698,0.929
ICP/USDT,2.9,226.0,569.0,3799.0,0.3113,0.346,0.2073,-0.5828,-1.2262,22347,65085,755733,4852366,12403463,2933,1419,-121134,-250724,-428255,"[2434652.0, 7055621]","[-1464.0, -4243, -0.06]","[-18236.0, -52848, -0.743]","[-40664.0, -117844, -1.643]","[-12160.0, -35240, -0.497]",-0.004,1294019431,0.005,0.0713,0.0656,0.0992,0.704,0.774,-0.046,-0.027,1.198,1.028,0.542,0.749
MKR/USDT,1384.9,880.0,2663.0,17543.0,0.2461,0.0723,0.2461,-0.667,2.041,258750,870346,6073212,62562617,133793595,22092,98477,643659,323379,1507772,"[43918.021, 60822067]","[-61.273, -84857, -0.139]","[-311.051, -430775, -0.703]","[-42.893, -59403, -0.098]","[92.422, 127995, 0.211]",0.006,1248315662,0.049,0.0909,0.0756,0.1079,0.638,0.687,0.303,0.482,1.182,0.997,0.589,0.735
QNT/USDT,85.38,237.0,655.0,2955.0,0.1055,0.1525,0.0586,-0.3618,0.1877,15268,46407,283633,1880495,5314487,1185,-5657,6494,-150641,-519927,"[75293.0, 6428516]","[-87.7, -7488, -0.116]","[124.1, 10596, 0.165]","[-62.9, -5370, -0.083]","[126.5, 10801, 0.168]",-0.01,1241781761,0.005,0.0552,0.07,0.0769,0.623,0.682,0.428,0.635,0.788,0.669,0.349,0.666
VET/USDT,0.01613,312.0,968.0,5147.0,0.1863,0.062,-0.062,-2.0644,-2.8898,66002,206953,1293635,7166156,17499996,9078,-15595,-135097,-477298,-680030,"[385468471.0, 6217606]","[159890.0, 2579, 0.041]","[-4931514.0, -79545, -1.263]","[5361352.0, 86479, 1.41]","[-12006490.0, -193665, -3.021]",0.004,1172885157,0.005,0.0806,0.0682,0.0859,0.69,0.746,-0.021,-0.092,0.021,0.002,0.015,0.013
APT/USDT,4.772,729.0,2535.0,13538.0,0.231,0.2732,-0.1465,-1.1599,-2.2331,234203,844902,4506664,29846848,76969062,55720,256074,124221,-721408,-3170665,"[7007254.7, 33452634]","[21208.8, 101251, 0.304]","[17898.5, 85447, 0.256]","[73003.3, 348518, 1.053]","[-10777.8, -51453, -0.154]",-0.013,1143611484,0.029,0.0478,0.0569,0.0902,0.693,0.772,0.195,-0.005,1.367,1.166,0.64,0.595
OP/USDT,1.2441,1897.0,4806.0,23212.0,0.3306,0.4035,0.0,-0.4322,0.8593,626601,1438326,7547365,56791300,155660052,58043,5835,-49244,-2338741,-4107074,"[31387670.2, 39049400]","[-48894.9, -60830, -0.156]","[106810.0, 132882, 0.341]","[-459771.9, -572002, -1.444]","[-267473.4, -332764, -0.845]",-0.001,1095625225,0.036,0.0626,0.0836,0.0977,0.636,0.749,0.207,0.192,1.42,1.23,0.589,0.689
ARB/USDT,0.8052,1229.0,2881.0,14935.0,0.3239,0.3114,0.1991,-0.9594,-1.6369,367621,795406,5654157,46719594,100945917,99741,93929,211454,-1615022,-2176277,"[70494382.3, 56762077]","[10013.3, 8063, 0.014]","[-15815.4, -12735, -0.022]","[177955.9, 143290, 0.253]","[466543.5, 375661, 0.666]",0.001,1026757500,0.055,0.1093,0.0844,0.1017,0.786,0.856,0.268,0.538,1.448,1.205,0.705,0.963
NEAR/USDT,1.015,429.0,957.0,5079.0,0.1974,0.1974,0.1974,-0.9756,-2.5912,146409,376103,2091131,16797904,37210620,68788,98245,-56374,-965264,-1384238,"[20856863.0, 21169716]","[-851.0, -864, -0.004]","[7864.0, 7982, 0.038]","[64851.0, 65824, 0.312]","[51967.0, 52747, 0.25]",-0.004,993893444,0.021,0.148,0.0977,0.1092,0.623,0.695,0.234,0.457,1.062,0.924,0.542,0.716
AAVE/USDT,63.17,519.0,1527.0,8653.0,0.3176,0.3973,0.1744,-0.3942,-1.266,119029,328429,2104719,13268467,33197450,72526,105419,398233,797846,703952,"[556130.1, 35108493]","[-578.7, -36533, -0.104]","[-2457.0, -155110, -0.44]","[12058.3, 761240, 2.216]","[6994.7, 441575, 1.274]",0.01,921551360,0.038,0.0658,0.0818,0.1024,0.72,0.829,-0.049,-0.037,1.262,1.081,0.625,0.78
ALGO/USDT,0.0941,349.0,849.0,3401.0,0.213,0.213,0.1064,-0.4233,-0.843,88362,268007,1057365,9477984,24201678,-4132,-30684,-61718,-281665,-374114,"[97316008.5, 9157436]","[-159545.6, -15013, -0.164]","[174111.4, 16384, 0.179]","[-650342.0, -61197, -0.664]","[2685753.9, 252729, 2.838]",0.01,744824664,0.012,0.1189,0.0973,0.1118,0.623,0.698,-0.013,-0.022,1.12,0.974,0.538,0.731
GRT/USDT,0.07966,470.0,1084.0,4685.0,0.2896,0.3275,0.492,-1.1172,-1.5693,79002,165658,665657,7696820,16068335,30879,26926,59631,626778,760031,"[90585019.0, 7211473]","[-125936.0, -10026, -0.139]","[-116065.0, -9240, -0.128]","[9114348.0, 725593, 11.187]","[11831155.0, 941878, 15.023]",-0.007,736370622,0.01,0.093,0.0713,0.0837,0.772,0.821,0.189,-0.011,1.28,1.1,0.611,0.507
